task_id,wave,priority,workstream,feature_id,task,implementation,acceptance,dependency,owner_lane,status
LAN-0036,5,P1,Source adapters,FEAT-036,Generated-owned regions/files,"Explicit generated directories/files, checksums, ownership records.",Only designated generated artifacts are replaced; manual files are protected.,Complete all P0 foundations and prior-wave exit gates,source-adapters,planned
LAN-0037,6,P1,Source adapters,FEAT-037,Tailwind adapter,Parse supported utilities/variants/arbitrary values and preserve unknown classes.,Supported class changes are idempotent and conflict-aware.,Complete all P0 foundations and prior-wave exit gates,source-adapters,planned
LAN-0038,5,P0,Source adapters,FEAT-038,Source plan/diff/verification,"Base hashes, semantic summary, text diff, temp validation, atomic promotion.",Plan invalidates on source drift and failed checks restore original files.,Complete all P0 foundations and prior-wave exit gates,source-adapters,planned
LAN-0039,6,P0,Styles,FEAT-039,Selector/style graph,"Selector AST, rule IDs, breakpoints/states/layers, source ownership.",Selector usages and declaration provenance are queryable.,Complete all P0 foundations and prior-wave exit gates,styles,planned
LAN-0040,6,P0,Styles,FEAT-040,Breakpoint cascade,Base/down/up breakpoint inheritance and visible override/reset semantics.,Effective values match browser at representative widths.,Complete all P0 foundations and prior-wave exit gates,styles,planned
LAN-0041,6,P1,Styles,FEAT-041,Pseudo-states,Hover/focus/focus-visible/active/visited/before/after rules.,State previews and generated selectors are standards-valid.,Complete all P0 foundations and prior-wave exit gates,styles,planned
LAN-0042,6,P0,Styles,FEAT-042,Variables and modes,"Typed collections, aliases, modes, usage, cycle checks, source output.",Alias cycles blocked; mode resolution deterministic; rename/delete impact previewed.,Complete all P0 foundations and prior-wave exit gates,styles,planned
LAN-0043,6,P1,Styles,FEAT-043,Grid inspector,Track/area/placement model with overlay and exact values.,Grid fixture output matches browser and supports undo/source round-trip.,Complete all P0 foundations and prior-wave exit gates,styles,planned
LAN-0044,6,P1,Styles,FEAT-044,Flexbox inspector,Container/item axis controls and overflow/min-size diagnostics.,Flex fixture output matches browser and inspector provenance.,Complete all P0 foundations and prior-wave exit gates,styles,planned
LAN-0045,6,P1,Styles,FEAT-045,Typography system,Semantic tag separate from visual style; relative units and text zoom.,"Heading semantics, contrast, zoom/reflow audits pass.",Complete all P0 foundations and prior-wave exit gates,styles,planned
LAN-0046,6,P1,Styles,FEAT-046,Design-system policy,Configurable scales/naming/deprecation/allowed-values policy.,Policy violations are reproducible warnings/blocks with fix actions.,Complete all P0 foundations and prior-wave exit gates,styles,planned
LAN-0047,6,P0,Styles,FEAT-047,Computed provenance trace,Explain selector/breakpoint/state/token/source for each effective property.,Reset returns exactly to displayed inherited value.,Complete all P0 foundations and prior-wave exit gates,styles,planned
LAN-0048,6,P0,Styles,FEAT-048,CSS/Tailwind deterministic output,Generate/modify source through adapters and browser verification.,Repeated generation creates no diff; output passes type/lint/build.,Complete all P0 foundations and prior-wave exit gates,styles,planned
LAN-0049,7,P0,Components,FEAT-049,Definition/instance identity,Separate reusable definition from instance references and ownership.,Move/duplicate/source generation preserves definition/instance IDs.,Complete all P0 foundations and prior-wave exit gates,components,planned
LAN-0050,7,P0,Components,FEAT-050,Typed props,"JSON Schema-compatible props with defaults, categories, binding types.",Invalid prop values/bindings fail before mutation.,Complete all P0 foundations and prior-wave exit gates,components,planned
LAN-0051,7,P1,Components,FEAT-051,Slots,Declared slot cardinality/allowed content and instance-owned child graphs.,Slot edits preserve ownership and nested component focus.,Complete all P0 foundations and prior-wave exit gates,components,planned
LAN-0052,7,P1,Components,FEAT-052,Variants,Variant axes/selections/defaults and generated style/prop implications.,All instances resolve a valid variant after definition changes.,Complete all P0 foundations and prior-wave exit gates,components,planned
LAN-0053,7,P1,Components,FEAT-053,Component focus/canvas,Explicit definition vs instance editing context and breadcrumb path.,User can see mutation target and apply global/instance change intentionally.,Complete all P0 foundations and prior-wave exit gates,components,planned
LAN-0054,7,P0,Components,FEAT-054,Versioning/migrations,Semantic component versions and deterministic instance migration functions.,Upgrade impact and migration result are reviewable and reversible.,Complete all P0 foundations and prior-wave exit gates,components,planned
LAN-0055,7,P2,Components,FEAT-055,Libraries,Local versioned component/token package and dependency resolver.,Library update detects conflicts and does not silently overwrite local drift.,Complete all P0 foundations and prior-wave exit gates,components,planned
LAN-0056,11,P1,Components,FEAT-056,Code component manifests,"React component manifest, isolated preview, dependency and capability policy.",Component renders within limits without fs/env/secrets and passes prop schema tests.,Complete all P0 foundations and prior-wave exit gates,components,planned
LAN-0057,8,P0,CMS,FEAT-057,Collection schemas,"Versioned fields, constraints, relationships, indexes, access, locale policy.",Schema validates fixtures and impact report precedes breaking change.,Complete all P0 foundations and prior-wave exit gates,cms,planned
LAN-0058,8,P1,CMS,FEAT-058,Collection items/workflow,Revisioned items with draft/review/approved/scheduled/published/archived.,Workflow and role tests prevent unauthorized publication.,Complete all P0 foundations and prior-wave exit gates,cms,planned
LAN-0059,8,P0,CMS,FEAT-059,References and integrity,"Typed one/many references, delete impact, provider mapping.",Invalid/dangling references are blocked or explicitly migrated.,Complete all P0 foundations and prior-wave exit gates,cms,planned
LAN-0060,8,P1,CMS,FEAT-060,Queries and collection lists,Typed filters/sort/pagination/projection and repeated item template.,Query/binding validates and previews empty/loading/error/item states.,Complete all P0 foundations and prior-wave exit gates,cms,planned
LAN-0061,8,P0,CMS,FEAT-061,Typed bindings,Schema-checked paths/transforms/fallbacks/visibility over context.,Missing/incompatible field fails before preview/publish.,Complete all P0 foundations and prior-wave exit gates,cms,planned
LAN-0062,8,P0,CMS,FEAT-062,Schema migrations,Impact/backfill/emulator/review/apply/verify/rollback record.,Breaking migration demonstrates counts/integrity and rollback/forward-fix plan.,Complete all P0 foundations and prior-wave exit gates,cms,planned
LAN-0063,8,P0,Forms,FEAT-063,Typed form contracts,"Fields, validators, destinations, outcomes, retention, access.",Generated client constraints and server validation match.,Complete all P0 foundations and prior-wave exit gates,forms,planned
LAN-0064,8,P0,Forms,FEAT-064,Anti-abuse and privacy,"Rate limiting, bot/spam controls, consent, redaction, retention.",Replay/spam fixtures do not create duplicate/unsafe records.,Complete all P0 foundations and prior-wave exit gates,forms,planned
LAN-0065,8,P1,Assets,FEAT-065,Asset catalog and usage,Hash/metadata/alt text/provider/transform/usage indexes.,Replace/delete shows all usages and accessibility impact.,Complete all P0 foundations and prior-wave exit gates,assets,planned
LAN-0066,12,P2,Commerce,FEAT-066,Optional Ecommerce pack,Products/SKUs/cart/checkout/order/provider state machines over CMS/forms/adapters.,Test-mode order flow is idempotent and audited; no live secret reaches browser.,Complete all P0 foundations and prior-wave exit gates,commerce,planned
LAN-0067,9,P1,Interactions,FEAT-067,Trigger/target model,Typed triggers and stable target selectors with impact checks.,Structure changes detect broken/ambiguous targets.,Complete all P0 foundations and prior-wave exit gates,interactions,planned
LAN-0068,9,P1,Interactions,FEAT-068,Timeline/action editor,Keyframes/groups/easing/variables/playback and preview.,Timeline plays deterministically and round-trips to runtime adapter.,Complete all P0 foundations and prior-wave exit gates,interactions,planned
LAN-0069,9,P0,Interactions,FEAT-069,Reduced-motion/FOUC policy,Initial state generation and alternate reduced-motion behavior.,No hidden content remains inaccessible; reduced-motion tests pass.,Complete all P0 foundations and prior-wave exit gates,interactions,planned
LAN-0070,9,P1,Localization,FEAT-070,Locales and fallback graph,"Locale records, direction, fallback, domain/subdirectory, publish status.",Fallback graph cannot cycle and route policy is deterministic.,Complete all P0 foundations and prior-wave exit gates,localization,planned
LAN-0071,9,P1,Localization,FEAT-071,Sparse object overrides,Field/path-level locale overrides over primary document.,Adding a locale does not clone the document; inheritance is visible.,Complete all P0 foundations and prior-wave exit gates,localization,planned
LAN-0072,9,P1,Localization,FEAT-072,Locale-aware publish/search/SEO,"Localized routes, metadata, schema, search, switcher, access.",Each locale snapshot has valid routes/language/canonical/search output.,Complete all P0 foundations and prior-wave exit gates,localization,planned
LAN-0073,10,P0,Publishing,FEAT-073,Preview snapshots,Freeze document/source/toolchain/config and generated build/artifacts.,Snapshot content/hash cannot change after creation.,Complete all P0 foundations and prior-wave exit gates,publishing,planned
LAN-0074,10,P1,Publishing,FEAT-074,Semantic review report,Object/style/component/CMS/route/source/diagnostic diff.,Required reviewers can approve scoped changes with stale detection.,Complete all P0 foundations and prior-wave exit gates,publishing,planned
LAN-0075,10,P0,Publishing,FEAT-075,Gate policy,Versioned required checks by environment/risk/project edition.,Failed required gate blocks release candidate unless authorized exception exists.,Complete all P0 foundations and prior-wave exit gates,publishing,planned
LAN-0076,10,P0,Publishing,FEAT-076,Publish manifest,"Artifact/route/asset hashes, target, approvals, rollback, checks.",Release can be independently verified from manifest.,Complete all P0 foundations and prior-wave exit gates,publishing,planned
LAN-0077,10,P0,Publishing,FEAT-077,Staging/production targets,Explicit environment/project/domain identity through existing deploy flow.,Wrong target/account/environment is detected before write.,Complete all P0 foundations and prior-wave exit gates,publishing,planned
LAN-0078,10,P0,Publishing,FEAT-078,Backup/restore,Document/journal/source/artifact/provider metadata restore points.,Restore drill produces a new verified release and preserves history.,Complete all P0 foundations and prior-wave exit gates,publishing,planned
LAN-0079,10,P1,Publishing,FEAT-079,SEO/AEO/search artifacts,Metadata/schema/sitemap/index manifest/redirect validation.,Published snapshot has valid unique metadata and no broken internal route references.,Complete all P0 foundations and prior-wave exit gates,publishing,planned
LAN-0080,10,P1,Publishing,FEAT-080,Release history and smoke evidence,"Release UI, deployment status, post-deploy checks, monitoring links.","Every production release has target, smoke, monitor, and rollback evidence.",Complete all P0 foundations and prior-wave exit gates,publishing,planned
LAN-0081,11,P0,Extensions,FEAT-081,Plugin manifest and sandbox,"Integrity, capabilities, isolated UI/runtime, storage/network policy.",Plugin cannot access undeclared query/command/network/storage capabilities.,Complete all P0 foundations and prior-wave exit gates,extensions,planned
LAN-0082,1,P0,Extensions,FEAT-082,Versioned query API,Stable read services for workspace/document/selection/styles/usages/source/releases.,UI/CLI/MCP receive equivalent schema-valid read results.,Complete all P0 foundations and prior-wave exit gates,extensions,planned
LAN-0083,11,P1,Extensions,FEAT-083,Designer CLI,JSON/human commands for inspect/import/validate/diff/preview/export/preflight.,CLI uses shared services and deterministic exit codes.,Complete all P0 foundations and prior-wave exit gates,extensions,planned
LAN-0084,11,P1,Extensions,FEAT-084,Read-only MCP,Selection/tree/style/findings/source/release tools with bounded output.,MCP cannot mutate or read secrets/private unrelated files.,Complete all P0 foundations and prior-wave exit gates,extensions,planned
LAN-0085,11,P2,Extensions,FEAT-085,MCP mutation proposals,Proposed command/diff plus plan-bound one-time approval.,Mutation without exact approval fails and approved command enters journal.,Complete all P0 foundations and prior-wave exit gates,extensions,planned
LAN-0086,12,P2,Collaboration,FEAT-086,Comments/review threads,"Stable object anchors, mentions, resolve/reopen, scoped approvals.",Comments survive object moves and become recoverable orphans on deletion.,Complete all P0 foundations and prior-wave exit gates,collaboration,planned
LAN-0087,12,P2,Collaboration,FEAT-087,Presence/soft locks,Ephemeral selection/page/mode presence and optimistic conflict hints.,Presence loss does not affect durable journal and never grants authority.,Complete all P0 foundations and prior-wave exit gates,collaboration,planned
LAN-0088,12,P2,Collaboration,FEAT-088,Page branches and merge,Base revision + command journal + semantic conflict/merge transaction.,Concurrent page branches merge or expose object-level conflicts deterministically.,Complete all P0 foundations and prior-wave exit gates,collaboration,planned
LAN-0089,12,P3,Insights,FEAT-089,Analyze overlays,Read-only page/node metrics mapped through publish manifest IDs.,Analytics overlay cannot mutate document or expose editor IDs publicly.,Complete all P0 foundations and prior-wave exit gates,insights,planned
LAN-0090,12,P3,Insights,FEAT-090,Optimize experiments,"Hypothesis, variations as snapshots, goals, segments, results, stop/rollback.",Experiment variants are reproducible and production changes are release-controlled.,Complete all P0 foundations and prior-wave exit gates,insights,planned
LAN-0091,11,P1,AI,FEAT-091,AI command proposals,"Context query, proposed commands, preview/diff, policy, acceptance.",AI cannot commit a mutation or access live secrets without explicit bounded approval.,Complete all P0 foundations and prior-wave exit gates,ai,planned
LAN-0092,0,P0,Program,PROGRAM,Create canonical Node/platform/command/process manifests,One source of truth drives docs and validation.,Generated docs and package scripts agree.,Prior-wave gates where applicable,program,planned
LAN-0093,0,P0,Program,PROGRAM,Add wiki path/command/link/security wording checker,Validate every active wiki page.,Zero broken commands/paths/links and no banned secret guidance.,Prior-wave gates where applicable,program,planned
LAN-0094,0,P0,Program,PROGRAM,Create LAN characterization fixture archive,Capture API/UI/security behavior before refactor.,Fixture set reproduces current behavior from clean clone.,Prior-wave gates where applicable,program,planned
LAN-0095,1,P0,Contracts,PROGRAM,Generate TypeScript types from JSON Schemas,Keep runtime and compile-time contracts synchronized.,CI fails on generated type drift.,Prior-wave gates where applicable,contracts,planned
LAN-0096,2,P0,Import,PROGRAM,Create stock-template golden import fixture,"Store expected IDs, source maps, and unsupported report.",No-op import is stable across three runs.,Prior-wave gates where applicable,import,planned
LAN-0097,3,P0,Journal,PROGRAM,Implement journal integrity checkpoints,Hash-chain periodic command journal checkpoints.,Tampering is detected in validation test.,Prior-wave gates where applicable,journal,planned
LAN-0098,4,P1,UX,PROGRAM,Run editor usability and keyboard review,Test primary flows with operator scripts.,Critical flows complete without mouse and without ambiguous target.,Prior-wave gates where applicable,ux,planned
LAN-0099,5,P0,Source,PROGRAM,Build temporary-worktree source apply harness,Validate writes before promotion.,Failed verification never changes working source.,Prior-wave gates where applicable,source,planned
LAN-0100,6,P0,Standards,PROGRAM,Create CSS conformance corpus,Map standards cases to expected computed results.,Supported cases match browser harness.,Prior-wave gates where applicable,standards,planned
LAN-0101,7,P1,Components,PROGRAM,Publish component migration authoring guide,Require migration for breaking component contract changes.,Breaking test fixture upgrades without orphaned instances.,Prior-wave gates where applicable,components,planned
LAN-0102,8,P0,Data,PROGRAM,Create emulator data/rules test pack,"Seed roles, content, forms, assets, and denied cases.",Rules and workflow tests pass in clean environment.,Prior-wave gates where applicable,data,planned
LAN-0103,9,P1,Experience,PROGRAM,Create reduced-motion and locale visual corpus,Test timelines and LTR/RTL/localized layouts.,No inaccessible hidden state or layout collision in corpus.,Prior-wave gates where applicable,experience,planned
LAN-0104,10,P0,Release,PROGRAM,Perform documented restore drill,Restore prior snapshot through release workflow.,Restored release passes smoke and hashes match expected artifacts.,Prior-wave gates where applicable,release,planned
LAN-0105,11,P0,Security,PROGRAM,Threat-model plugin/MCP/code-component host,Review every capability and message boundary.,No high-risk unmitigated finding before write capabilities ship.,Prior-wave gates where applicable,security,planned
LAN-0106,12,P2,Collaboration,PROGRAM,Prototype page-branch conflict matrix,"Exercise non-overlap, same object, route, component, and schema conflicts.",Merge results are deterministic and explainable.,Prior-wave gates where applicable,collaboration,planned
