criterion_id,feature_id,wave,criterion,evidence_required,blocking
AC-072,FEAT-072,9,Each locale snapshot has valid routes/language/canonical/search output.,Automated test report plus generated artifact/diff where applicable,policy-dependent
AC-073,FEAT-073,10,Snapshot content/hash cannot change after creation.,Automated test report plus generated artifact/diff where applicable,yes
AC-074,FEAT-074,10,Required reviewers can approve scoped changes with stale detection.,Automated test report plus generated artifact/diff where applicable,policy-dependent
AC-075,FEAT-075,10,Failed required gate blocks release candidate unless authorized exception exists.,Automated test report plus generated artifact/diff where applicable,yes
AC-076,FEAT-076,10,Release can be independently verified from manifest.,Automated test report plus generated artifact/diff where applicable,yes
AC-077,FEAT-077,10,Wrong target/account/environment is detected before write.,Automated test report plus generated artifact/diff where applicable,yes
AC-078,FEAT-078,10,Restore drill produces a new verified release and preserves history.,Automated test report plus generated artifact/diff where applicable,yes
AC-079,FEAT-079,10,Published snapshot has valid unique metadata and no broken internal route references.,Automated test report plus generated artifact/diff where applicable,policy-dependent
AC-080,FEAT-080,10,"Every production release has target, smoke, monitor, and rollback evidence.",Automated test report plus generated artifact/diff where applicable,policy-dependent
AC-081,FEAT-081,11,Plugin cannot access undeclared query/command/network/storage capabilities.,Automated test report plus generated artifact/diff where applicable,yes
AC-082,FEAT-082,1,UI/CLI/MCP receive equivalent schema-valid read results.,Automated test report plus generated artifact/diff where applicable,yes
AC-083,FEAT-083,11,CLI uses shared services and deterministic exit codes.,Automated test report plus generated artifact/diff where applicable,policy-dependent
AC-084,FEAT-084,11,MCP cannot mutate or read secrets/private unrelated files.,Automated test report plus generated artifact/diff where applicable,policy-dependent
AC-085,FEAT-085,11,Mutation without exact approval fails and approved command enters journal.,Automated test report plus generated artifact/diff where applicable,policy-dependent
AC-086,FEAT-086,12,Comments survive object moves and become recoverable orphans on deletion.,Automated test report plus generated artifact/diff where applicable,policy-dependent
AC-087,FEAT-087,12,Presence loss does not affect durable journal and never grants authority.,Automated test report plus generated artifact/diff where applicable,policy-dependent
AC-088,FEAT-088,12,Concurrent page branches merge or expose object-level conflicts deterministically.,Automated test report plus generated artifact/diff where applicable,policy-dependent
AC-089,FEAT-089,12,Analytics overlay cannot mutate document or expose editor IDs publicly.,Automated test report plus generated artifact/diff where applicable,policy-dependent
AC-090,FEAT-090,12,Experiment variants are reproducible and production changes are release-controlled.,Automated test report plus generated artifact/diff where applicable,policy-dependent
AC-091,FEAT-091,11,AI cannot commit a mutation or access live secrets without explicit bounded approval.,Automated test report plus generated artifact/diff where applicable,policy-dependent
