global_id,source_id,publisher,category,title,url,source_type,evidence_level,accessed,takeaway,lan_implication
16,WF-016,Webflow,Design system,Starter Library,https://help.webflow.com/hc/en-us/articles/33961353022739-Starter-Library,official-primary,primary-core-reviewed,2026-08-05,Documents a first-party or normative capability in the design system surface.,"Translate the behavior into a typed domain capability, explicit permission, testable command, and evidence-producing operation."
17,WF-017,Webflow,Portability,Copy and paste between sites,https://help.webflow.com/hc/en-us/articles/33961319728403-Copy-and-paste-between-sites,official-primary,primary-core-reviewed,2026-08-05,Documents a first-party or normative capability in the portability surface.,"Translate the behavior into a typed domain capability, explicit permission, testable command, and evidence-producing operation."
18,WF-018,Webflow,Assets,Assets panel,https://help.webflow.com/hc/en-us/articles/33961269934227-Assets-panel,official-primary,primary-core-reviewed,2026-08-05,Documents a first-party or normative capability in the assets surface.,"Translate the behavior into a typed domain capability, explicit permission, testable command, and evidence-producing operation."
19,WF-019,Webflow,Design tokens,Variables,https://help.webflow.com/hc/en-us/articles/33961268146323-Variables,official-primary,primary-core-reviewed,2026-08-05,"Central design values support typed variables, collections, modes, aliases, and context-dependent resolution.","Create a token graph with typed values, alias-cycle detection, modes/themes, breakpoint resolution, usage indexing, and safe rename/delete."
20,WF-020,Webflow,Design system,Using a design system in Webflow,https://help.webflow.com/hc/en-us/articles/41959932025235-Using-a-design-system-in-Webflow,official-primary,primary-core-reviewed,2026-08-05,Documents a first-party or normative capability in the design system surface.,"Translate the behavior into a typed domain capability, explicit permission, testable command, and evidence-producing operation."
21,WF-021,Webflow,Components,Components overview,https://help.webflow.com/hc/en-us/articles/33961303934611-Components-overview,official-primary,primary-core-reviewed,2026-08-05,"Reusable design units need stable definitions, instances, typed properties, slots, variants, overrides, and library/version boundaries.","Expand the current component registry into definitions plus instances, props, slots, variants, dependency graphs, migrations, and source ownership."
22,WF-022,Webflow,Components,Component canvas,https://help.webflow.com/hc/en-us/articles/49505240420755-Component-canvas,official-primary,primary-core-reviewed,2026-08-05,"Reusable design units need stable definitions, instances, typed properties, slots, variants, overrides, and library/version boundaries.","Expand the current component registry into definitions plus instances, props, slots, variants, dependency graphs, migrations, and source ownership."
23,WF-023,Webflow,Components,Component variants,https://help.webflow.com/hc/en-us/articles/51307110086547-Component-variants,official-primary,primary-core-reviewed,2026-08-05,"Reusable design units need stable definitions, instances, typed properties, slots, variants, overrides, and library/version boundaries.","Expand the current component registry into definitions plus instances, props, slots, variants, dependency graphs, migrations, and source ownership."
24,WF-024,Webflow,Components,Component properties,https://help.webflow.com/hc/en-us/articles/33961219350547-Component-properties,official-primary,primary-core-reviewed,2026-08-05,"Reusable design units need stable definitions, instances, typed properties, slots, variants, overrides, and library/version boundaries.","Expand the current component registry into definitions plus instances, props, slots, variants, dependency graphs, migrations, and source ownership."
25,WF-025,Webflow,Components,Slots,https://help.webflow.com/hc/en-us/articles/33961195339923-Slots,official-primary,primary-core-reviewed,2026-08-05,"Reusable design units need stable definitions, instances, typed properties, slots, variants, overrides, and library/version boundaries.","Expand the current component registry into definitions plus instances, props, slots, variants, dependency graphs, migrations, and source ownership."
26,WF-026,Webflow,Libraries,Libraries,https://help.webflow.com/hc/en-us/articles/33961343551763-Libraries,official-primary,primary-core-reviewed,2026-08-05,"Reusable design units need stable definitions, instances, typed properties, slots, variants, overrides, and library/version boundaries.","Expand the current component registry into definitions plus instances, props, slots, variants, dependency graphs, migrations, and source ownership."
27,WF-027,Webflow,CMS,Manage CMS Collections,https://help.webflow.com/hc/en-us/articles/33961244391059-Manage-CMS-Collections,official-primary,primary-core-reviewed,2026-08-05,"The CMS is a schema system: collections, typed fields, relationships, items, status, limits, templates, lists, imports, and bindings.","Define provider-neutral collection schemas, relationship integrity, query contracts, localization, workflow states, and page/component bindings."
28,WF-028,Webflow,CMS,Collection fields,https://help.webflow.com/hc/en-us/articles/33961390084499-Collection-fields,official-primary,primary-core-reviewed,2026-08-05,"The CMS is a schema system: collections, typed fields, relationships, items, status, limits, templates, lists, imports, and bindings.","Define provider-neutral collection schemas, relationship integrity, query contracts, localization, workflow states, and page/component bindings."
29,WF-029,Webflow,CMS,Collection items overview,https://help.webflow.com/hc/en-us/articles/33961289539347-Collection-items-overview,official-primary,primary-core-reviewed,2026-08-05,"The CMS is a schema system: collections, typed fields, relationships, items, status, limits, templates, lists, imports, and bindings.","Define provider-neutral collection schemas, relationship integrity, query contracts, localization, workflow states, and page/component bindings."
30,WF-030,Webflow,CMS,Collection list,https://help.webflow.com/hc/en-us/articles/33961294051347-Collection-list,official-primary,primary-core-reviewed,2026-08-05,"The CMS is a schema system: collections, typed fields, relationships, items, status, limits, templates, lists, imports, and bindings.","Define provider-neutral collection schemas, relationship integrity, query contracts, localization, workflow states, and page/component bindings."
31,WF-031,Webflow,CMS,Reference field overview,https://help.webflow.com/hc/en-us/articles/33961317363091-Reference-field-overview,official-primary,primary-core-reviewed,2026-08-05,"The CMS is a schema system: collections, typed fields, relationships, items, status, limits, templates, lists, imports, and bindings.","Define provider-neutral collection schemas, relationship integrity, query contracts, localization, workflow states, and page/component bindings."
32,WF-032,Webflow,CMS,Import content into the Webflow CMS,https://help.webflow.com/hc/en-us/articles/33961290794771-How-do-I-import-content-into-the-Webflow-CMS,official-primary,primary-core-reviewed,2026-08-05,"The CMS is a schema system: collections, typed fields, relationships, items, status, limits, templates, lists, imports, and bindings.","Define provider-neutral collection schemas, relationship integrity, query contracts, localization, workflow states, and page/component bindings."
33,WF-033,Webflow,CMS,Organize Collection fields into groups,https://help.webflow.com/hc/en-us/articles/52963781437203-Organize-Collection-fields-into-groups,official-primary,primary-core-reviewed,2026-08-05,"The CMS is a schema system: collections, typed fields, relationships, items, status, limits, templates, lists, imports, and bindings.","Define provider-neutral collection schemas, relationship integrity, query contracts, localization, workflow states, and page/component bindings."
34,WF-034,Webflow,CMS,Dynamic content limits,https://help.webflow.com/hc/en-us/articles/33961370432275-Dynamic-content-limits,official-primary,primary-core-reviewed,2026-08-05,"The CMS is a schema system: collections, typed fields, relationships, items, status, limits, templates, lists, imports, and bindings.","Define provider-neutral collection schemas, relationship integrity, query contracts, localization, workflow states, and page/component bindings."
35,WF-035,Webflow,AI and CMS,Generate CMS Collection items with Webflow AI,https://help.webflow.com/hc/en-us/articles/51037774703251-Generate-CMS-Collection-items-with-Webflow-AI,official-primary,primary-core-reviewed,2026-08-05,"The CMS is a schema system: collections, typed fields, relationships, items, status, limits, templates, lists, imports, and bindings.","Define provider-neutral collection schemas, relationship integrity, query contracts, localization, workflow states, and page/component bindings."
36,WF-036,Webflow,Interactions,Actions and animations in Interactions with GSAP,https://help.webflow.com/hc/en-us/articles/42832337629075-Actions-and-animations-in-Interactions-with-GSAP,official-primary,primary-core-reviewed,2026-08-05,"Motion is represented as trigger/target/action timelines with playback, scoping, reusable presets, and variable animation.",Add an interaction graph and timeline command model; never encode visual motion as opaque ad-hoc script in node props.
37,WF-037,Webflow,Interactions,Timeline in Interactions with GSAP,https://help.webflow.com/hc/en-us/articles/42861689104531-Timeline-in-Interactions-with-GSAP,official-primary,primary-core-reviewed,2026-08-05,"Motion is represented as trigger/target/action timelines with playback, scoping, reusable presets, and variable animation.",Add an interaction graph and timeline command model; never encode visual motion as opaque ad-hoc script in node props.
38,WF-038,Webflow,Interactions,Triggers and targets in Interactions with GSAP,https://help.webflow.com/hc/en-us/articles/42832349989395-Triggers-targets-in-Interactions-with-GSAP,official-primary,primary-core-reviewed,2026-08-05,"Motion is represented as trigger/target/action timelines with playback, scoping, reusable presets, and variable animation.",Add an interaction graph and timeline command model; never encode visual motion as opaque ad-hoc script in node props.
39,WF-039,Webflow,Interactions,Create and manage Interactions with GSAP,https://help.webflow.com/hc/en-us/articles/53580099234579-Create-and-manage-Interactions-with-GSAP,official-primary,primary-core-reviewed,2026-08-05,"Motion is represented as trigger/target/action timelines with playback, scoping, reusable presets, and variable animation.",Add an interaction graph and timeline command model; never encode visual motion as opaque ad-hoc script in node props.
40,WF-040,Webflow,Interactions,Animate variables in Interactions with GSAP,https://help.webflow.com/hc/en-us/articles/50267494904211-Animate-variables-in-Interactions-with-GSAP,official-primary,primary-core-reviewed,2026-08-05,"Central design values support typed variables, collections, modes, aliases, and context-dependent resolution.","Create a token graph with typed values, alias-cycle detection, modes/themes, breakpoint resolution, usage indexing, and safe rename/delete."
41,WF-041,Webflow,Interactions,Getting started with GSAP in Webflow,https://help.webflow.com/hc/en-us/articles/40538857574419-Getting-started-with-GSAP-in-Webflow,official-primary,primary-core-reviewed,2026-08-05,"Motion is represented as trigger/target/action timelines with playback, scoping, reusable presets, and variable animation.",Add an interaction graph and timeline command model; never encode visual motion as opaque ad-hoc script in node props.
42,WF-042,Webflow,Interactions,FOUC prevention for Interactions with GSAP,https://help.webflow.com/hc/en-us/articles/46490560780051-FOUC-prevention-for-Interactions-with-GSAP,official-primary,primary-core-reviewed,2026-08-05,"Motion is represented as trigger/target/action timelines with playback, scoping, reusable presets, and variable animation.",Add an interaction graph and timeline command model; never encode visual motion as opaque ad-hoc script in node props.
43,WF-043,Webflow,Localization,Manage your site's locales,https://help.webflow.com/hc/en-us/articles/53682971927571-Manage-your-site-s-locales,official-primary,primary-core-reviewed,2026-08-05,"Localization overlays content, styles, settings, slugs, access, and publishing on top of a primary-locale model.",Model locale inheritance and overrides explicitly; avoid cloning full documents per locale.
44,WF-044,Webflow,Localization,Localize content and styles,https://help.webflow.com/hc/en-us/articles/33961240676371-Localize-content-and-styles,official-primary,primary-core-reviewed,2026-08-05,"Localization overlays content, styles, settings, slugs, access, and publishing on top of a primary-locale model.",Model locale inheritance and overrides explicitly; avoid cloning full documents per locale.
45,WF-045,Webflow,Localization,Build a locale switcher,https://help.webflow.com/hc/en-us/articles/33961252003859-Build-a-locale-switcher,official-primary,primary-core-reviewed,2026-08-05,"Localization overlays content, styles, settings, slugs, access, and publishing on top of a primary-locale model.",Model locale inheritance and overrides explicitly; avoid cloning full documents per locale.
46,WF-046,Webflow,Localization,Set your site's language code,https://help.webflow.com/hc/en-us/articles/33961361019411-Set-your-site-s-language-code,official-primary,primary-core-reviewed,2026-08-05,"Localization overlays content, styles, settings, slugs, access, and publishing on top of a primary-locale model.",Model locale inheritance and overrides explicitly; avoid cloning full documents per locale.
47,WF-047,Webflow,Localization,Locale-specific access,https://help.webflow.com/hc/en-us/articles/50401263212947-Locale-specific-access,official-primary,primary-core-reviewed,2026-08-05,"Localization overlays content, styles, settings, slugs, access, and publishing on top of a primary-locale model.",Model locale inheritance and overrides explicitly; avoid cloning full documents per locale.
48,WF-048,Webflow,Governance,Site roles and permissions,https://help.webflow.com/hc/en-us/articles/41015796747667-Site-roles-and-permissions,official-primary,primary-core-reviewed,2026-08-05,"Capabilities are role-, site-, collection-, and workflow-scoped, and publishing authority is distinct from editing authority.","Map SYSTEMX levels to explicit capabilities enforced in the server command registry, not only hidden buttons or fixture roles."
49,WF-049,Webflow,Collaboration,Page branching,https://help.webflow.com/hc/en-us/articles/46651751861139-Page-branching,official-primary,primary-core-reviewed,2026-08-05,"Collaboration requires reviewable branches, anchored feedback, activity history, and conflict-aware editing states.","Design the command journal and object IDs now so comments, page branches, merge review, and presence can be added without replacing the document model."
50,WF-050,Webflow,Audit,Site Activity log,https://help.webflow.com/hc/en-us/articles/46651707969043-Site-Activity-log,official-primary,primary-core-reviewed,2026-08-05,"Collaboration requires reviewable branches, anchored feedback, activity history, and conflict-aware editing states.","Design the command journal and object IDs now so comments, page branches, merge review, and presence can be added without replacing the document model."
51,WF-051,Webflow,Versioning,Save and restore backups,https://help.webflow.com/hc/en-us/articles/33961244069395-Save-and-restore-backups,official-primary,primary-core-reviewed,2026-08-05,"Draft editing, staging, backups, production publication, domain routing, and rollback are separate lifecycle states.",Publish immutable build snapshots and manifests through SYSTEMX gates; do not treat a local source save as a deployment or release version.
52,WF-052,Webflow,Publishing,Publish or unpublish a Webflow site,https://help.webflow.com/hc/en-us/articles/33961351954579-How-do-I-publish-or-unpublish-a-Webflow-site,official-primary,primary-core-reviewed,2026-08-05,"Draft editing, staging, backups, production publication, domain routing, and rollback are separate lifecycle states.",Publish immutable build snapshots and manifests through SYSTEMX gates; do not treat a local source save as a deployment or release version.
53,WF-053,Webflow,Publishing,Advanced publishing options,https://help.webflow.com/hc/en-us/articles/33961287288339-Advanced-publishing-options,official-primary,primary-core-reviewed,2026-08-05,"Draft editing, staging, backups, production publication, domain routing, and rollback are separate lifecycle states.",Publish immutable build snapshots and manifests through SYSTEMX gates; do not treat a local source save as a deployment or release version.
54,WF-054,Webflow,Publishing,Webflow staging subdomain,https://help.webflow.com/hc/en-us/articles/33961419650067-Webflow-staging-subdomain,official-primary,primary-core-reviewed,2026-08-05,"Draft editing, staging, backups, production publication, domain routing, and rollback are separate lifecycle states.",Publish immutable build snapshots and manifests through SYSTEMX gates; do not treat a local source save as a deployment or release version.
55,WF-055,Webflow,Publishing,Enable private staging on your site,https://help.webflow.com/hc/en-us/articles/46651762935443-Enable-private-staging-on-your-site,official-primary,primary-core-reviewed,2026-08-05,"Draft editing, staging, backups, production publication, domain routing, and rollback are separate lifecycle states.",Publish immutable build snapshots and manifests through SYSTEMX gates; do not treat a local source save as a deployment or release version.
56,WF-056,Webflow,Publishing,Add a custom staging domain to your site,https://help.webflow.com/hc/en-us/articles/46651756818323-Add-a-custom-staging-domain-to-your-site,official-primary,primary-core-reviewed,2026-08-05,"Draft editing, staging, backups, production publication, domain routing, and rollback are separate lifecycle states.",Publish immutable build snapshots and manifests through SYSTEMX gates; do not treat a local source save as a deployment or release version.
57,WF-057,Webflow,Domains,Connect a domain to Webflow,https://help.webflow.com/hc/en-us/articles/33961334343827-How-do-I-connect-my-domain-to-Webflow,official-primary,primary-core-reviewed,2026-08-05,"Draft editing, staging, backups, production publication, domain routing, and rollback are separate lifecycle states.",Publish immutable build snapshots and manifests through SYSTEMX gates; do not treat a local source save as a deployment or release version.
58,WF-058,Webflow,Domains,Manually connect a custom domain,https://help.webflow.com/hc/en-us/articles/33961239562387-Manually-connect-a-custom-domain,official-primary,primary-core-reviewed,2026-08-05,"Draft editing, staging, backups, production publication, domain routing, and rollback are separate lifecycle states.",Publish immutable build snapshots and manifests through SYSTEMX gates; do not treat a local source save as a deployment or release version.
59,WF-059,Webflow,Accessibility and SEO,Intro to the Audit panel,https://help.webflow.com/hc/en-us/articles/33961313088531-Intro-to-the-Audit-panel,official-primary,primary-core-reviewed,2026-08-05,"Quality findings are contextual, severity-ranked, navigable to the affected object, and resolved before or after publish by policy.",Attach diagnostics to stable page/node/style/asset IDs and expose fix commands with evidence and policy-based blocking.
60,WF-060,Webflow,Forms,Add forms in Webflow,https://help.webflow.com/hc/en-us/articles/33961347548563-How-do-I-add-forms-in-Webflow,official-primary,primary-core-reviewed,2026-08-05,"Forms combine visual structure, typed field settings, destinations, validation, submissions, abuse controls, and privacy decisions.","Represent forms as typed contracts with server-side validation, destination adapters, anti-abuse controls, retention, and test fixtures."
61,WF-061,Webflow,Designer API,Designer API introduction,https://developers.webflow.com/designer/reference/introduction,official-primary,primary-platform-index-reviewed,2026-08-05,"Webflow exposes typed, capability-specific operations over editor objects rather than a generic shell or unrestricted DOM bridge.","Make the LAN kernel's command API the stable extension surface and keep UI, MCP, plugins, and automation as permissioned clients."
62,WF-062,Webflow,Designer API,Designer API getting started,https://developers.webflow.com/designer/reference/designer-api/getting-started,official-primary,primary-platform-index-reviewed,2026-08-05,"Webflow exposes typed, capability-specific operations over editor objects rather than a generic shell or unrestricted DOM bridge.","Make the LAN kernel's command API the stable extension surface and keep UI, MCP, plugins, and automation as permissioned clients."
63,WF-063,Webflow,Designer API,Webflow CLI for Designer Extensions,https://developers.webflow.com/designer/reference/webflow-cli,official-primary,primary-platform-index-reviewed,2026-08-05,"Webflow exposes typed, capability-specific operations over editor objects rather than a generic shell or unrestricted DOM bridge.","Make the LAN kernel's command API the stable extension surface and keep UI, MCP, plugins, and automation as permissioned clients."
64,WF-064,Webflow,Designer API,Designer API error handling,https://developers.webflow.com/designer/reference/error-handling,official-primary,primary-platform-index-reviewed,2026-08-05,"Webflow exposes typed, capability-specific operations over editor objects rather than a generic shell or unrestricted DOM bridge.","Make the LAN kernel's command API the stable extension surface and keep UI, MCP, plugins, and automation as permissioned clients."
65,WF-065,Webflow,Designer API,Designer Extension app modes,https://developers.webflow.com/designer/reference/app-modes,official-primary,primary-platform-index-reviewed,2026-08-05,"Webflow exposes typed, capability-specific operations over editor objects rather than a generic shell or unrestricted DOM bridge.","Make the LAN kernel's command API the stable extension surface and keep UI, MCP, plugins, and automation as permissioned clients."
66,WF-066,Webflow,Designer API,Elements overview,https://developers.webflow.com/designer/reference/elements-overview,official-primary,primary-platform-index-reviewed,2026-08-05,"Webflow exposes typed, capability-specific operations over editor objects rather than a generic shell or unrestricted DOM bridge.","Make the LAN kernel's command API the stable extension surface and keep UI, MCP, plugins, and automation as permissioned clients."
67,WF-067,Webflow,Designer API,Creating and retrieving elements,https://developers.webflow.com/designer/reference/creating-retrieving-elements,official-primary,primary-platform-index-reviewed,2026-08-05,"Webflow exposes typed, capability-specific operations over editor objects rather than a generic shell or unrestricted DOM bridge.","Make the LAN kernel's command API the stable extension surface and keep UI, MCP, plugins, and automation as permissioned clients."
68,WF-068,Webflow,Designer API,Element properties and methods,https://developers.webflow.com/designer/reference/element-properties-methods,official-primary,primary-platform-index-reviewed,2026-08-05,"Webflow exposes typed, capability-specific operations over editor objects rather than a generic shell or unrestricted DOM bridge.","Make the LAN kernel's command API the stable extension surface and keep UI, MCP, plugins, and automation as permissioned clients."
69,WF-069,Webflow,Designer API,Element types and methods,https://developers.webflow.com/designer/reference/element-types-methods,official-primary,primary-platform-index-reviewed,2026-08-05,"Webflow exposes typed, capability-specific operations over editor objects rather than a generic shell or unrestricted DOM bridge.","Make the LAN kernel's command API the stable extension surface and keep UI, MCP, plugins, and automation as permissioned clients."
70,WF-070,Webflow,Designer API,Styles overview,https://developers.webflow.com/designer/reference/styles-overview,official-primary,primary-platform-index-reviewed,2026-08-05,"Webflow exposes typed, capability-specific operations over editor objects rather than a generic shell or unrestricted DOM bridge.","Make the LAN kernel's command API the stable extension surface and keep UI, MCP, plugins, and automation as permissioned clients."
71,WF-071,Webflow,Designer API,Style properties,https://developers.webflow.com/designer/reference/style-properties,official-primary,primary-platform-index-reviewed,2026-08-05,"Webflow exposes typed, capability-specific operations over editor objects rather than a generic shell or unrestricted DOM bridge.","Make the LAN kernel's command API the stable extension surface and keep UI, MCP, plugins, and automation as permissioned clients."
72,WF-072,Webflow,Designer API,Managing variable modes in styles,https://developers.webflow.com/designer/reference/managing-variable-modes-style,official-primary,primary-platform-index-reviewed,2026-08-05,"Central design values support typed variables, collections, modes, aliases, and context-dependent resolution.","Create a token graph with typed values, alias-cycle detection, modes/themes, breakpoint resolution, usage indexing, and safe rename/delete."
73,WF-073,Webflow,Designer API,Components overview for extensions,https://developers.webflow.com/designer/reference/components-overview,official-primary,primary-platform-index-reviewed,2026-08-05,"Reusable design units need stable definitions, instances, typed properties, slots, variants, overrides, and library/version boundaries.","Expand the current component registry into definitions plus instances, props, slots, variants, dependency graphs, migrations, and source ownership."
74,WF-074,Webflow,Designer API,Variables overview,https://developers.webflow.com/designer/reference/variables-overview,official-primary,primary-platform-index-reviewed,2026-08-05,"Central design values support typed variables, collections, modes, aliases, and context-dependent resolution.","Create a token graph with typed values, alias-cycle detection, modes/themes, breakpoint resolution, usage indexing, and safe rename/delete."
75,WF-075,Webflow,Designer API,Variable Collections overview,https://developers.webflow.com/designer/reference/variable-collections-overview,official-primary,primary-platform-index-reviewed,2026-08-05,"Central design values support typed variables, collections, modes, aliases, and context-dependent resolution.","Create a token graph with typed values, alias-cycle detection, modes/themes, breakpoint resolution, usage indexing, and safe rename/delete."
76,WF-076,Webflow,Designer API,Variable detail overview,https://developers.webflow.com/designer/reference/variables-detail-overview,official-primary,primary-platform-index-reviewed,2026-08-05,"Central design values support typed variables, collections, modes, aliases, and context-dependent resolution.","Create a token graph with typed values, alias-cycle detection, modes/themes, breakpoint resolution, usage indexing, and safe rename/delete."
77,WF-077,Webflow,Designer API,Variable modes,https://developers.webflow.com/designer/reference/variable-modes,official-primary,primary-platform-index-reviewed,2026-08-05,"Central design values support typed variables, collections, modes, aliases, and context-dependent resolution.","Create a token graph with typed values, alias-cycle detection, modes/themes, breakpoint resolution, usage indexing, and safe rename/delete."
78,WF-078,Webflow,Designer API,Assets overview,https://developers.webflow.com/designer/reference/asset-overview,official-primary,primary-platform-index-reviewed,2026-08-05,"Webflow exposes typed, capability-specific operations over editor objects rather than a generic shell or unrestricted DOM bridge.","Make the LAN kernel's command API the stable extension surface and keep UI, MCP, plugins, and automation as permissioned clients."
79,WF-079,Webflow,Designer API,Pages overview,https://developers.webflow.com/designer/reference/pages-overview,official-primary,primary-platform-index-reviewed,2026-08-05,"Models pages as managed route-bearing objects with folders, settings, search, and destructive-action controls.","Promote LAN pages from fixture rows to typed page records with route constraints, metadata, layouts, locales, status, and references."
80,WF-080,Webflow,Designer API,Extension utilities,https://developers.webflow.com/designer/reference/extension-utilities,official-primary,primary-platform-index-reviewed,2026-08-05,"Webflow exposes typed, capability-specific operations over editor objects rather than a generic shell or unrestricted DOM bridge.","Make the LAN kernel's command API the stable extension surface and keep UI, MCP, plugins, and automation as permissioned clients."
81,WF-081,Webflow,Designer API,Designer API events,https://developers.webflow.com/designer/reference/events,official-primary,primary-platform-index-reviewed,2026-08-05,"Webflow exposes typed, capability-specific operations over editor objects rather than a generic shell or unrestricted DOM bridge.","Make the LAN kernel's command API the stable extension surface and keep UI, MCP, plugins, and automation as permissioned clients."
82,WF-082,Webflow,Data API,Data API quick start,https://developers.webflow.com/data/v2.0.0/reference/rest-introduction/quick-start,official-primary,primary-platform-index-reviewed,2026-08-05,"Remote data operations use explicit resources, authentication modes, scopes, request structures, and API-version contracts.","Separate local editor authority from remote provider adapters and require least-privilege scopes, target identity, idempotency, and evidence."
83,WF-083,Webflow,Data API,Data API introduction and resource model,https://developers.webflow.com/data/v2.0.0/reference/rest-introduction,official-primary,primary-platform-index-reviewed,2026-08-05,"Remote data operations use explicit resources, authentication modes, scopes, request structures, and API-version contracts.","Separate local editor authority from remote provider adapters and require least-privilege scopes, target identity, idempotency, and evidence."
84,WF-084,Webflow,Data API,OAuth applications,https://developers.webflow.com/data/reference/oauth-app,official-primary,primary-platform-index-reviewed,2026-08-05,"Remote data operations use explicit resources, authentication modes, scopes, request structures, and API-version contracts.","Separate local editor authority from remote provider adapters and require least-privilege scopes, target identity, idempotency, and evidence."
85,WF-085,Webflow,Data API,Site token authentication,https://developers.webflow.com/data/v2.0.0/reference/authentication/site-token,official-primary,primary-platform-index-reviewed,2026-08-05,"Remote data operations use explicit resources, authentication modes, scopes, request structures, and API-version contracts.","Separate local editor authority from remote provider adapters and require least-privilege scopes, target identity, idempotency, and evidence."
